ID;SXEJL;B0K;YO
QTBE6;789;80;215
AQJGN;440;7;408
BO0;493;104;630
IOQ8;164;977;165
T4VO4;240;261;760
4D;383;508;999
G9;781;185;471
NV3;338;941;557
YEHYH;202;999;222
OKJ;390;53;247
QPAAM;953;113;934
V6;982;659;431
1LS;669;633;451
S0U2;670;537;396
POR6Q;101;139;562
PXY7T;246;283;35
X6XZO;970;806;610
AEIDS;139;103;671
5WXX;631;654;334
BG;380;634;896
WF20;32;598;558
5BXD1;468;506;315
JLCL;671;30;485
L64KA;638;781;611
T8HU;201;411;221
V7QTL;774;442;463
K2OE7;199;322;301
GMZ;479;770;119
Q6SPO;664;242;981
U5M;788;826;10
X0TO;746;596;329
WEW9;100;36;446
EK;145;726;197
COJI;495;15;15
LWNQ6;65;571;264
LYEC;230;484;512
SWI;869;383;887
8M;43;25;702
COOPQ;563;606;549
UBSTF;670;715;935
NBE;790;392;838
2BWQ;22;507;324
4G;449;73;541
E415;491;710;44
1L;188;715;286
N7QSQ;775;945;12
X08;760;623;801
CVP;889;674;422
BM;672;988;626
JW;242;178;758
YU;430;417;268
PSE;885;631;582
6L;955;530;45
YH;146;416;293
SWH8;956;188;922
CT8O9;381;522;905
L7F;591;291;774
Q0L;888;819;144
3D0;398;526;13
BVNC;724;224;763
BY;82;871;971
7VF;312;568;173
GQW7;599;882;394
I2WQD;587;390;630
9F8;899;450;149
P7;666;564;459
P6KN4;110;335;363
A89H;528;625;994
WMB;342;980;732
MN;807;137;296
U17AR;373;453;163
A5EH7;327;133;69
37Q0E;360;449;556
QYS7X;444;289;27
MPX;144;185;915
8GDX;188;320;168
8X4;240;277;83
QM;804;169;838
YYKTX;335;698;816
0FLI8;158;590;218
F89J;553;659;94
8O;805;461;152
OA;117;481;47
PN;916;404;301
4K;573;274;500
54W1;143;281;50
1K2RM;363;120;475
H3WR;945;936;480
FSKOB;368;79;217
19XCD;536;738;128
NVT5;494;351;84
U6NO9;80;400;215
9Z5;536;345;659
GC;313;90;941
OKKU;318;256;478
E7W;445;708;891
0S;351;829;828
0YR;402;986;14
WC;727;740;367
Q2;485;108;915
21NNW;434;921;346
XMHV;984;495;205
31;135;406;219
HJ;77;824;468
PW;534;97;124
HAH0;32;321;944
GDCI;270;126;956
X9;649;274;186
UH;630;789;903
D8A;937;363;346
1F9C;463;625;26
9MPKO;667;198;989
6TW;146;950;685
TC9;544;208;560
I84Q;537;843;980
UM;459;912;228
E1;79;651;500
CLG7;545;404;570
BQZ7;209;541;319
76B;477;491;295
9W;135;659;572
VGI;656;749;458
8CZ6;166;377;307
6LDB;624;458;313
NTAII;41;954;875
MUF;919;462;632
A049P;420;857;941
K66JI;510;907;406
ALP4Z;186;279;856
30OJ9;116;919;467
KNCGL;835;781;999
0SN;563;620;649
FB;180;584;912
7D;806;622;170
S2EVH;222;86;124
CP;957;750;415
X1T3F;584;773;341
O9V;515;231;185
EUND;902;16;683
A0X;187;265;244
2GT6W;621;339;402
14F;72;728;391
4VCS4;72;837;570
W9J;119;172;325
UQ;57;456;123
CM7E9;724;686;553
X6H3C;564;972;938
N460D;915;293;399
1MQX;570;590;473
9AFM;366;917;193
YD;258;110;435
AF;336;352;536
IKAYS;494;463;639
DH;408;880;416
LY87F;774;376;873
3BF;832;640;19
CL6G;876;904;459
ILV;478;912;867
85;451;996;650
CL;448;53;79
NZ;888;207;414
M0IBT;344;314;345
GG;409;224;66
VL1W;871;114;107
5I2;713;929;816
6DBD7;711;294;291
U95Q;203;572;715
W6V;698;431;509
R8;850;235;63
XF1;898;152;951
5K;164;305;663
F1;187;92;878
ZAKA;166;191;480
PMA;579;394;810
3T6;524;527;988
6M;661;661;351
MS;315;592;496
OD09;561;526;507
1XP;562;242;286
YMEPR;947;591;627
